id|tollbooth_id|strech_name|motorbike|car|Car-axle|bus-2axle|bus-3axle|bus-4axle|truck-2axle|truck-3axle|truck-4axle|truck-5axle|truck-6axle|truck-7axle|truck-8axle|truck-9axle|Load-axle|road_length_km|fair_ref|sct_idVia|via|Motorbike-axle|Car-rush-hour|Car-evening-hour
31|79|Nochixtlán-huitzo|$      4 7.00|$          9 4.00|$      4 7.00|$    1 86.00|$    1 86.00|$    1 86.00|$    1 90.00|$    1 90.00|$        2 41.00|$        2 41.00|$       3 01.00|$       3 01.00|$         3 01.00|$        3 01.00|$     9 5.00|38.51|pase|115|Cuacnopalan-oaxaca|||
32|79|Huitzo-oaxaca|$      1 8.00|$          3 6.00|$      1 8.00|$       5 9.00|$       5 9.00|$       5 9.00|$       5 8.00|$       5 8.00|$          8 5.00|$          8 5.00|$       1 18.00|$       1 18.00|$         1 18.00|$        1 18.00|$     2 9.00|25.99|pase|115|Cuacnopalan-oaxaca|||
33|225|BARRANCA LARGA-VENTANILLA|$   1 17.00|$        2 34.00|$   1 17.00|$    4 68.00|$    4 68.00|$    4 68.00|$    4 68.00|$    4 68.00|$        4 68.00|$        7 02.00|$       7 02.00|$    1 ,053.00|$      1 ,053.00|$    1 ,053.00|$   2 34.00||pase|||||
34|226|BARRANCA LARGA-VENTANILLA|$   1 17.00|$        2 34.00|$   1 17.00|$    4 68.00|$    4 68.00|$    4 68.00|$    4 68.00|$    4 68.00|$        4 68.00|$        7 02.00|$       7 02.00|$    1 ,053.00|$      1 ,053.00|$    1 ,053.00|$   2 34.00||pase|||||
35|118|la tinaja-isla|$   1 38.00|$        2 77.00|$   1 39.00|$    4 17.00|$    4 17.00|$    4 17.00|$    3 48.00|$    3 48.00|$        3 48.00|$        5 12.00|$       5 12.00|$       5 90.00|$         5 90.00|$        5 90.00|$   1 74.00|118.15|pase|33|la tinaja-cosoleacaque|||
36|118|la tinaja-cosamaloapan|$   1 14.00|$        2 29.00|$   1 15.00|$    3 28.00|$    3 28.00|$    3 28.00|$    3 30.00|$    3 30.00|$        3 30.00|$        4 14.00|$       4 14.00|$       4 13.00|$         4 13.00|$        4 13.00|$   1 65.00|83.36|pase|33|la tinaja-cosoleacaque|||
37|118|Cosamaloapan-isla|$      2 3.00|$          4 7.00|$      2 4.00|$       9 0.00|$       9 0.00|$       9 0.00|$       8 7.00|$       8 7.00|$          8 7.00|$          9 7.00|$         9 7.00|$         9 2.00|$           9 2.00|$          9 2.00|$     4 4.00|34.79|pase|33|la tinaja-cosoleacaque|||
38|119|Isla-cosoleacaque|$   1 29.00|$        2 58.00|$   1 29.00|$    3 77.00|$    3 77.00|$    3 77.00|$    3 20.00|$    3 20.00|$        3 20.00|$        4 95.00|$       4 95.00|$       5 44.00|$         5 44.00|$        5 44.00|$   1 60.00|109.5|pase|33|la tinaja-cosoleacaque|||
39|119|Isla-acayucan|$      8 3.00|$        1 67.00|$      8 4.00|$    2 30.00|$    2 30.00|$    2 30.00|$    2 24.00|$    2 24.00|$        2 24.00|$        2 91.00|$       2 91.00|$       2 79.00|$         2 79.00|$        2 79.00|$   1 12.00|69.85|pase|33|la tinaja-cosoleacaque|||
40|119|Acayucan-cosoleacaque|$      4 8.00|$          9 6.00|$      4 8.00|$    1 48.00|$    1 48.00|$    1 48.00|$    1 47.00|$    1 47.00|$        1 47.00|$        2 05.00|$       2 05.00|$       1 80.00|$         1 80.00|$        1 80.00|$     7 4.00|40|pase|33|la tinaja-cosoleacaque|||
41|428|TÚNEL COATZACOALCOS|$      2 4.00|$          4 9.00|$      2 4.00|$       8 6.00|$       8 6.00|$       8 6.00|$       8 6.00|$       8 6.00|$        1 75.00|$        1 75.00|$       2 54.00|$       2 54.00|$         2 54.00|$        2 54.00|$     4 3.00|1.6|pase|||||
42|212|MITLA-TEHUANTEPEC II|$      7 9.00|$        1 59.00|$   1 08.00|$    4 32.00|$    4 32.00|$    4 32.00|$    4 32.00|$    4 32.00|$        4 32.00|$        6 81.00|$       6 81.00|$       8 09.00|$         8 09.00|$        8 09.00|$   2 16.00|71|pase|252|Mitla-tehuantepec|||
43|212|Mitla-lachixitla|$      7 2.00|$        1 44.00|$   1 00.00|$    4 02.00|$    4 02.00|$    4 02.00|$    4 02.00|$    4 02.00|$        4 02.00|$        6 34.00|$       6 34.00|$       7 53.00|$         7 53.00|$        7 53.00|$   2 01.00|39.5|pase|252|Mitla-tehuantepec|||
44|216|LACHIXILA-ENT. TEHUANTEPEC II|$      6 7.00|$        1 35.00|$      7 2.00|$    2 88.00|$    2 88.00|$    2 88.00|$    2 88.00|$    2 88.00|$        2 88.00|$        4 54.00|$       4 54.00|$       5 39.00|$         5 39.00|$        5 39.00|$   1 44.00|40|pase|252|Mitla-tehuantepec|||
45|89|salina cruz-tehuantepec|$      2 3.00|$          4 7.00|$      2 4.00|$       9 4.00|$       9 4.00|$       9 4.00|$       9 0.00|$       9 0.00|$        1 31.00|$        1 31.00|$       1 64.00|$       1 64.00|$         1 64.00|$        1 64.00|$     4 5.00|22.7|pase|180|salina cruz-la ventosa|||
46|90|Tehuantepec-la ventosa|$      4 7.00|$          9 5.00|$      4 8.00|$    1 79.00|$    1 79.00|$    1 79.00|$    1 77.00|$    1 77.00|$        2 56.00|$        2 56.00|$       3 28.00|$       3 28.00|$         3 28.00|$        3 28.00|$     8 9.00|52.6|pase|180|salina cruz-la ventosa|||
47|90|Tehuantepec-ixtepec|$      2 3.00|$          4 7.00|$      2 4.00|$       9 4.00|$       9 4.00|$       9 4.00|$       9 0.00|$       9 0.00|$        1 31.00|$        1 31.00|$       1 64.00|$       1 64.00|$         1 64.00|$        1 64.00|$     4 5.00|30.9|pase|180|salina cruz-la ventosa|||
48|90|Ixtepec-la ventosa|$      2 3.00|$          4 7.00|$      2 4.00|$       9 4.00|$       9 4.00|$       9 4.00|$       9 0.00|$       9 0.00|$        1 31.00|$        1 31.00|$       1 64.00|$       1 64.00|$         1 64.00|$        1 64.00|$     4 5.00|27.9|pase|180|salina cruz-la ventosa|||
49|22|PUENTE NACIONAL ALVARADO|$      1 3.00|$          2 6.00|$      1 3.00|$       4 7.00|$       4 7.00|$       4 7.00|$       4 7.00|$       4 7.00|$        1 00.00|$        1 00.00|$       1 46.00|$       1 46.00|$         1 46.00|$        1 46.00|$     2 4.00|0.53|pase|65||||
50|63|PUENTE NACIONAL TLACOTLALPAN|$      1 3.00|$          2 6.00|$      1 3.00|$       4 7.00|$       4 7.00|$       4 7.00|$       4 7.00|$       4 7.00|$        1 00.00|$        1 00.00|$       1 46.00|$       1 46.00|$         1 46.00|$        1 46.00|$     2 4.00|0.597|pase|104||||
51|29|PUENTE NACIONAL CARACOL|$      1 3.00|$          2 6.00|$      1 3.00|$       4 7.00|$       4 7.00|$       4 7.00|$       4 7.00|$       4 7.00|$        1 00.00|$        1 00.00|$       1 46.00|$       1 46.00|$         1 46.00|$        1 46.00|$     2 4.00|0.164|pase|68||||
52|28|PUENTE NACIONAL PAPALOAPAN|$      1 3.00|$          2 6.00|$      1 3.00|$       4 7.00|$       4 7.00|$       4 7.00|$       4 7.00|$       4 7.00|$        1 00.00|$        1 00.00|$       1 46.00|$       1 46.00|$         1 46.00|$        1 46.00|$     2 4.00|0.288|pase|90||||
53|67|PUENTA NACIONAL DOVALI|$      1 1.00|$          2 2.00|$      1 1.00|$       4 0.00|$       4 0.00|$       4 0.00|$       4 0.00|$       4 0.00|$          7 0.00|$          7 0.00|$       1 08.00|$       1 08.00|$         1 08.00|$        1 08.00|$      20.00|1.268|pase|74||||
54|990|Amozoc-ent. Ixtenco|$      5 3.00|$        1 07.00|$      5 4.00|$    1 65.00|$    1 69.00|$    1 73.00|$    1 64.00|$    1 68.00|$        1 97.00|$        2 32.00|$       2 49.00|$       3 15.00|$         3 15.00|$        3 15.00|$      81.00|25.7|pase|196|Amozoc-perote y libramiento perote|||
55|990|ent. Ixtenco-ent oriental|$      6 0.00|$        1 22.00|$      6 2.00|$    1 99.00|$    2 04.00|$    2 13.00|$    1 99.00|$    2 04.00|$        2 13.00|$        2 61.00|$       2 61.00|$       3 65.00|$         3 65.00|$        3 65.00|$   1 01.00|35.8|pase|196|Amozoc-perote y libramiento perote|||
56|990|ent. Ixtenco-cuapiaxtla|$      2 6.00|$          5 3.00|$      2 6.00|$       6 3.00|$       6 7.00|$       7 2.00|$       6 3.00|$       6 7.00|$          7 2.00|$          8 2.00|$         8 2.00|$       1 24.00|$         1 24.00|$        1 24.00|$      32.00|14|pase|196|Amozoc-perote y libramiento perote|||
57|990|ent. Cuapiaxtla-ent orientel|$      3 4.00|$          6 9.00|$      3 6.00|$    1 36.00|$    1 37.00|$    1 41.00|$    1 36.00|$    1 37.00|$        1 41.00|$        1 79.00|$       1 79.00|$       2 41.00|$         2 41.00|$        2 41.00|$      69.00|21.8|pase|196|Amozoc-perote y libramiento perote|||
58|990|ent. Oriental-perote II|$      9 8.00|$        1 97.00|$      9 8.00|$    2 93.00|$    2 98.00|$    3 05.00|$    2 93.00|$    2 98.00|$        3 05.00|$        3 82.00|$       3 82.00|$       5 42.00|$         5 42.00|$        5 42.00|$   1 48.00|55.5|pase|196|Amozoc-perote y libramiento perote|||
59|990|ent. Oriental-ent. Cantona|$      3 1.00|$          6 3.00|$      3 1.00|$    1 02.00|$    1 06.00|$    1 10.00|$    1 02.00|$    1 06.00|$        1 10.00|$        1 46.00|$       1 46.00|$       1 98.00|$         1 98.00|$        1 98.00|$      51.00|18.8|pase|196|Amozoc-perote y libramiento perote|||
60|990|ent. Cantona-ent perote II|$      6 7.00|$        1 34.00|$      6 7.00|$    1 91.00|$    1 92.00|$    1 95.00|$    1 91.00|$    1 92.00|$        1 95.00|$        2 36.00|$       2 36.00|$       3 44.00|$         3 44.00|$        3 44.00|$      97.00|36.7|pase|196|Amozoc-perote y libramiento perote|||
61|990|libramiento de perote|$      3 5.00|$          7 1.00|$      3 5.00|$       9 1.00|$       9 3.00|$    1 00.00|$       9 1.00|$       9 3.00|$        1 00.00|$        1 33.00|$       1 33.00|$       1 67.00|$         1 67.00|$        1 67.00|$      45.00|18|pase|196|Amozoc-perote y libramiento perote|||
62|990|ent. Ixtenco- ent. Audi|$      1 7.00|$          3 5.00|$      1 7.00|$       4 4.00|$       4 6.00|$       4 9.00|$       4 4.00|$       4 6.00|$          4 9.00|$          5 6.00|$         5 6.00|$         9 0.00|$           9 0.00|$          9 0.00|$     2 0.00|10.3|pase|196|Amozoc-perote y libramiento perote|||
63|990|AMOZOC-PEROTE (AUDI CUAPIAXTLA A1 Y A2)|$      4 3.00|$          8 7.00|$      4 5.00|$    1 55.00|$    1 58.00|$    1 64.00|$    1 55.00|$    1 58.00|$        1 64.00|$        2 05.00|$       2 05.00|$       2 75.00|$         2 75.00|$        2 75.00|$     8 1.00||pase|196|Amozoc-perote y libramiento perote|||
64|990|AMOZOC-PEROTE (AUDI CUAPIAXTLA)|$        9 .00|$          1 8.00|$      1 0.00|$       2 0.00|$       2 1.00|$       2 3.00|$       2 0.00|$       2 1.00|$          2 3.00|$          2 6.00|$         2 6.00|$         3 4.00|$           3 4.00|$          3 4.00|$     1 2.00||pase|196|Amozoc-perote y libramiento perote|||
65|460|PEROTE-BANDERILLA|$      9 8.00|$        196.00|$      98.00|$     240.00|$     240.00|$     240.00|$     245.00|$     245.00|$        245.00|$         330.00|$       458.00|$        649.00|$          649.00|$        649.00||30|pase|215|Perote-banderilla y libramiento de xalapa|||
66|461|LIBRAMIENTO XALAPA|$      9 8.00|$        1 96.00|$      9 8.00|$    2 31.00|$    2 31.00|$    2 31.00|$    3 72.00|$    3 72.00|$        3 72.00|$        4 72.00|$       6 04.00|$       6 59.00|$         6 59.00|$        6 59.00||29.6|pase|215|Perote-banderilla y libramiento de xalapa|||
67|457|CARDEL-VERACRUZ|$      4 1.00|$          8 2.00|$      4 2.00|$    1 25.00|$    1 25.00|$    1 25.00|$    1 25.00|$    1 25.00|$        1 25.00|$        3 00.00|$       3 00.00|$       4 31.00|$         4 31.00|$        4 31.00|$     6 1.00|28.5|pase|7|Cardel-veracruz|||
68|458|SAN JULIÁN-VERACRUZ|$      1 3.00|$          2 7.00|$      1 3.00|$       6 1.00|$       6 1.00|$       6 1.00|$       6 4.00|$       6 4.00|$          6 4.00|$        1 19.00|$       1 19.00|$       1 43.00|$         1 43.00|$        1 43.00|$     3 1.00|7.91|pase|7|Cardel-veracruz|||
69|459|LIBRAMIENTO PLAN DEL RIO|$      3 1.00|$          6 3.00|$      3 2.00|$    1 04.00|$    1 04.00|$    1 04.00|$    1 04.00|$    1 04.00|$        1 04.00|$        2 21.00|$       2 21.00|$       2 58.00|$         2 58.00|$        2 58.00|$     5 3.00||pase|||||
70|33|PUENTE NACIONAL NAUTLA|$      1 3.00|$          2 6.00|$      1 3.00|$       4 7.00|$       4 7.00|$       4 7.00|$       4 7.00|$       4 7.00|$        1 00.00|$        1 00.00|$       1 46.00|$       1 46.00|$         1 46.00|$        1 46.00|$     2 4.00|0.214|pase|87|puente nautla|||
71|179|las chopas-nuevo sacrificio|$      5 0.00|$        1 01.00|$      5 1.00|$    1 80.00|$    1 80.00|$    1 80.00|$    1 53.00|$    1 53.00|$        1 53.00|$        2 41.00|$       2 41.00|$       3 30.00|$         3 30.00|$        3 30.00|$     7 7.00|63.2|pase|35|las chopas-ocozocuautla|||
72|179|las chopas-las chopas II|16|33||46|46|46|46|46|46|58|58|62|62|62||17|sct_site|35|las chopas-ocozocuautla|||
73|179|las chopas II-nuevo sacrificio|$      3 5.00|$          7 1.00|$      3 6.00|$    1 39.00|$    1 39.00|$    1 39.00|$    1 34.00|$    1 34.00|$        1 34.00|$        1 83.00|$       1 83.00|$       2 16.00|$         2 16.00|$        2 16.00|$     6 7.00|46.2|pase|35|las chopas-ocozocuautla|||
74|181|nuevo sacrificio-raudales|$      5 0.00|$        1 01.00|$      5 1.00|$    1 80.00|$    1 80.00|$    1 80.00|$    1 53.00|$    1 53.00|$        1 53.00|$        2 41.00|$       2 41.00|$       3 30.00|$         3 30.00|$        3 30.00|$     7 7.00|70.8|pase|35|las chopas-ocozocuautla|||
75|181|nuevo sacrificio-malpasito|$      2 7.00|$          5 5.00|$      2 8.00|$       9 7.00|$       9 7.00|$       9 7.00|$       9 6.00|$       9 6.00|$          9 6.00|$        1 29.00|$       1 29.00|$       1 47.00|$         1 47.00|$        1 47.00|$     4 8.00|49.6|pase|35|las chopas-ocozocuautla|||
76|181|Malpasito-raudales|$      2 3.00|$          4 6.00|$      2 3.00|$       9 0.00|$       9 0.00|$       9 0.00|$       8 7.00|$       8 7.00|$          8 7.00|$        1 14.00|$       1 14.00|$       1 41.00|$         1 41.00|$        1 41.00|$     4 4.00|21.2|pase|35|las chopas-ocozocuautla|||
77|182|Raudales-ocozocuautla|$      5 0.00|$        1 01.00|$      5 1.00|$    1 80.00|$    1 80.00|$    1 80.00|$    1 53.00|$    1 53.00|$        1 53.00|$        2 41.00|$       2 41.00|$       3 30.00|$         3 30.00|$        3 30.00|$     7 7.00|64|pase|35|las chopas-ocozocuautla|||
78|929|TUXTLA GUTIERREZ-SAN CRISTOBAL DE LAS C|$      5 0.00|$        1 00.00|$      5 0.00|$    2 05.00|$    2 05.00|$    2 05.00|$    1 85.00|$    1 85.00|$        1 85.00|$        2 80.00|$       2 80.00|$       4 00.00|$         4 00.00|$        4 00.00|$     9 2.00|46|pase|121|TUXTLA GUTIERREZ-SAN CRISTOBAL DE LAS C|||
79|930|Arriaga-tierra y libertad|$      3 3.00|$          6 7.00|$      3 3.00|$    1 25.00|$    1 25.00|$    1 25.00|$       9 5.00|$       9 5.00|$          9 5.00|$        1 65.00|$       1 65.00|$       2 25.00|$         2 25.00|$        2 25.00|$     4 7.00|20|pase|209|Arriaga-ocozocoautla|||
80|931|tierra y libertad-jiquipilas|$      5 5.00|$        1 10.00|$      5 5.00|$    2 20.00|$    2 20.00|$    2 20.00|$    1 85.00|$    1 85.00|$        1 85.00|$        3 15.00|$       3 15.00|$       4 35.00|$         4 35.00|$        4 35.00|$     9 2.00|41.598|pase|209|Arriaga-ocozocoautla|||
81|932|Jiquipilas-montes azules|15|30||70|70|70|45|45|45|90|90|110|110|110||9.101|sct_site|209|Arriaga-ocozocoautla|||
82|932|montes azules-ocozocoautla|$      3 5.00|$          7 1.00|$      3 5.00|$    1 35.00|$    1 35.00|$    1 35.00|$    1 05.00|$    1 05.00|$        1 05.00|$        1 75.00|$       1 75.00|$       2 35.00|$         2 35.00|$        2 35.00|$     5 2.00|22.301|pase|209|Arriaga-ocozocoautla|||
83|176|AGUA DULCE-CARDENAS|$      5 0.00|$        1 01.00|$      5 1.00|$    1 92.00|$    1 92.00|$    1 92.00|$    1 61.00|$    1 61.00|$        1 61.00|$        2 62.00|$       2 62.00|$       3 27.00|$         3 27.00|$        3 27.00|$     8 1.00|53.3|pase|8|ent. Agua dulce-cardenas|||
84|176|agua dulce-magallanes|$      2 3.00|$          4 7.00|$      2 4.00|$       9 8.00|$       9 8.00|$       9 8.00|$       9 7.00|$       9 7.00|$          9 7.00|$        1 33.00|$       1 33.00|$       1 41.00|$         1 41.00|$        1 41.00|$     4 9.00|22.8|pase|8|ent. Agua dulce-cardenas|||
85|176|Magallanes-cardenas|$      2 4.00|$          4 9.00|$      2 5.00|$       9 8.00|$       9 8.00|$       9 8.00|$       9 7.00|$       9 7.00|$          9 7.00|$        1 33.00|$       1 33.00|$       1 41.00|$         1 41.00|$        1 41.00|$     4 9.00|30.5|pase|8|ent. Agua dulce-cardenas|||
86|227|loma de caballo-frontera|$      3 7.00|$          7 4.00|$      3 7.00|$    1 61.00|$    1 61.00|$    1 61.00|$    1 80.00|$    1 80.00|$        1 80.00|$        2 10.00|$       2 10.00|$       2 10.00|$         2 10.00|$        2 10.00|$     9 0.00|23.7|pase|256|libramiento de villahermosa|||
87|227|loma de caballo-nacajuca|$      2 0.00|$          3 9.00|$      1 9.00|$       8 9.00|$       8 9.00|$       8 9.00|$       9 5.00|$       9 5.00|$          9 5.00|$        1 13.00|$       1 13.00|$       1 13.00|$         1 13.00|$        1 13.00|$     4 7.00|16.6|pase|256|libramiento de villahermosa|||
