"stretch_id","tollbooth_id_in","tollbooth_id_out"
261,1463,1463
261,939,939
261,940,940
261,1460,1460
261,223,223
262,129,129
262,1469,1469
262,1457,1457
262,293,293
263,1465,1465
264,1469,1469
264,,
265,1469,1469
265,128,128
266,1466,1466
266,1473,1473
266,240,240
266,1461,1461
267,1475,1475
267,305,305
268,200,200
268,136,136
269,1456,1456
269,1467,1467
270,473,473
270,1289,1289
271,1455,1455
271,135,135
272,503,503
272,1286,1286
273,504,504
273,1288,1288
274,505,505
274,1287,1287
275,485,485
275,486,486
276,506,506
276,507,507
277,1285,1285
277,492,492
278,492,492
278,493,493
279,484,484
279,483,483
280,492,492
280,1052,492
280,1284,1284
281,479,479
281,480,480
281,1279,479
281,479,502
282,1282,479
283,481,481
283,482,482
284,480,480
284,479,479
284,480,479
285,1269,1269
285,438,438
286,,
287,,
288,457,1271
288,1270,1270
288,1271,1271
289,,
290,,
291,457,1269
292,1270,1267
293,459,1271
294,,
295,,
296,439,439
296,437,437
297,,
298,1279,1279
298,502,502
299,487,487
299,1283,1283
300,331,331
301,330,330
301,1581,1581
302,330,330
302,1581,1581
303,490,490
303,1290,1290
304,491,491
305,471,471
305,1291,1291
306,1292,1292
306,472,472
307,508,508
307,1293,1293
307,1294,1294
308,1294,1294
308,470,470
309,497,497
309,1295,1295
310,1296,1296
310,501,501
311,1297,1297
312,500,500
312,1297,1297
313,1299,1299
313,499,499
313,1298,1298
313,498,499
314,1298,1298
314,498,1299
315,498,498
316,1300,1300
316,488,488
316,489,489
317,366,366
317,369,369
318,366,366
318,369,369
319,367,367
319,365,365
320,1554,1554
320,53,53
321,531,531
321,952,952
322,530,530
323,1352,526
323,527,529
324,1352,525
324,527,529
325,527,1103
326,1352,1354
326,524,529
327,527,1103
328,524,1103
329,529,529
330,1104,1354
331,524,1103
331,527,1353
331,523,526
332,527,1353
332,523,525
333,1352,1354
333,524,529
334,1352,526
335,1352,525
335,527,529
336,1104,526
337,1104,525
338,524,1103
338,523,526
338,527,1353
339,527,1353
340,519,519
340,518,518
340,520,520
340,521,521
341,1357,1357
341,510,510
341,1356,1356
341,509,509
342,1358,1358
343,1360,1360
343,522,522
344,1359,1359
344,512,512
344,511,511
345,1306,1306
345,379,379
346,379,379
346,1306,1306
347,1306,1306
347,379,379
348,378,378
348,1305,1305
349,371,371
349,1302,1302
350,373,373
350,372,372
351,383,383
351,1312,1312
352,382,382
352,1313,1313
353,1311,1311
353,370,370
354,1303,1303
354,374,374
355,363,363
355,1304,1304
356,375,375
356,1301,1301
357,,
358,,
359,,
359,,
360,,
361,,
362,,
363,459,459
363,436,436
363,1267,1267
363,435,435
364,,
365,464,464
365,465,465
366,462,462
366,463,463
367,468,468
367,469,469
368,461,461
368,460,460
369,432,432
369,1268,1268
370,434,434
370,433,433
371,419,419
371,1272,1272
372,1273,1273
372,445,445
373,,
374,,
375,1274,1274
375,417,417
376,446,446
376,1275,1275
377,447,447
377,1276,1276
378,444,444
378,1277,1277
379,105,105
380,1265,1265
380,418,418
381,452,452
381,1264,1264
382,441,441
382,440,440
383,1251,1251
383,550,550
383,1254,1254
383,1254,1254
384,549,549
384,548,548
385,1252,1252
385,1253,1253
386,1250,1250
386,544,544
387,1249,1249
388,547,547
389,540,540
389,1255,1255
390,535,535
390,536,536
391,535,535
391,536,536
392,,
393,1256,1256
393,539,539
394,555,555
394,554,554
394,556,556
395,553,553
396,560,560
396,561,561
396,562,562
396,559,559
397,1248,1248
397,541,541
398,1247,1247
398,542,542
399,1571,1571
399,533,533
400,1572,1572
400,534,534
401,755,755
402,756,756
403,774,774
403,1215,1215
404,1213,1213
404,775,775
405,1213,1213
406,762,762
406,1211,1211
407,752,752
407,1210,1210
408,752,752
408,1210,1210
409,772,772
409,770,770
410,769,769
410,771,771
411,1209,1209
411,773,773
412,1342,1342
412,766,766
413,767,767
413,1202,1202
414,1574,1574
414,778,778
415,780,780
415,779,779
415,779,1574
415,778,780
415,778,778
415,1574,1574
416,782,782
416,1126,1126
417,783,783
417,1125,1125
418,777,777
418,776,776
419,784,784
419,1124,1124
420,1122,1122
420,785,785
421,1120,1120
421,786,786
422,788,788
423,1123,1123
423,790,790
424,789,789
425,764,764
426,765,765
426,763,763
427,1216,1216
427,764,764
428,108,108
428,1217,1217
429,1218,1218
429,120,120
430,115,115
430,1219,1219
431,1220,1220
431,114,114
432,1221,1221
432,121,121
433,1222,1222
433,113,113
434,110,110
434,112,112
435,109,109
435,111,111
436,1223,1223
436,118,118
437,117,117
437,119,119
438,118,118
438,1223,1223
438,932,932
439,97,97
439,96,96
440,98,98
440,95,95
441,,
442,86,86
442,1165,1165
443,1166,1166
443,94,94
444,1224,1224
444,106,106
445,107,107
445,1225,1225
446,77,77
446,1142,1142
447,1145,1145
447,69,69
448,104,104
448,100,100
449,,
450,102,102
450,101,101
451,91,91
451,90,90
452,90,90
452,87,87
453,90,90
453,88,88
453,91,91
454,608,608
454,1174,1174
455,607,607
456,611,611
457,610,610
458,609,609
459,1577,1577
459,85,85
460,595,595
461,1170,1170
461,84,84
462,934,934
462,935,935
462,1228,1228
462,727,727
463,594,594
463,587,587
464,1578,1578
465,592,592
465,590,590
465,589,589
466,571,571
466,569,569
467,591,591
467,593,593
468,1561,1561
468,570,570
469,572,572
469,568,568
470,570,570
471,1183,1183
471,585,585
472,,
473,574,574
473,1184,1184
474,581,581
475,582,582
476,575,575
477,1163,1163
477,83,83
478,82,82
479,613,613
479,1171,1171
480,566,566
480,565,565
481,606,606
481,605,605
482,604,604
482,1173,1171
483,817,817
483,1186,1186
484,1173,1173
485,1173,1173
486,579,579
486,578,578
487,578,578
487,579,579
488,599,599
489,598,598
489,596,596
490,601,601
491,603,603
491,600,600
492,576,576
492,577,577
493,597,597
494,,
495,602,602
496,814,814
497,1187,1187
497,828,828
498,828,828
498,1187,1187
500,827,827
501,808,808
502,1190,1190
502,820,820
503,1189,1189
503,1191,1191
503,819,819
503,818,818
504,,
505,809,809
506,816,816
507,829,829
508,816,816
508,807,807
509,826,826
510,810,810
510,1559,1559
510,1188,1188
511,71,71
512,1559,1559
513,92,92
513,82,82
514,93,93
515,15,15
515,1108,1108
516,16,16
516,17,17
517,7,7
517,9,9
518,1106,1106
518,6,6
519,8,8
520,14,14
520,13,13
521,1110,1110
521,1111,1111
521,23,23
521,22,22
522,18,18
522,19,19
522,931,931
523,10,10
523,1112,1112
524,1454,683
525,1454,842
526,1454,390
527,1454,277
528,1454,287
528,1454,941
529,1454,394
530,1454,124
531,1454,131
532,1454,387
533,1454,406
533,1454,404
534,1454,411
535,1454,258
535,1454,255
536,1454,1443
537,1454,1453
538,123,683
539,123,842
540,123,390
541,123,277
542,123,941
542,123,287
543,123,394
544,123,124
545,123,131
546,123,387
547,123,406
547,123,404
548,123,411
549,123,258
549,123,255
550,123,1443
551,123,134
552,216,683
553,216,842
554,216,390
555,216,277
556,216,941
556,216,287
557,216,394
558,216,124
559,216,131
560,216,387
561,216,134
562,216,404
562,216,406
563,216,1453
564,216,411
565,216,258
565,216,255
566,231,231
567,230,134
568,230,1453
569,254,683
569,256,683
569,682,259
570,254,842
570,256,842
570,844,259
570,841,259
571,256,390
571,254,390
571,837,259
571,388,259
572,256,277
572,254,277
572,275,259
573,254,941
573,256,287
573,254,287
573,256,941
573,291,259
573,292,259
574,254,394
574,256,394
574,393,259
575,254,124
575,256,124
575,127,259
576,253,134
576,259,134
577,254,131
577,256,131
577,130,259
578,253,1453
578,259,1453
579,256,387
579,254,387
579,385,259
580,254,406
580,256,404
580,254,404
580,256,406
580,401,259
580,402,259
581,254,411
581,256,411
581,410,259
582,253,1443
582,259,1443
583,253,231
583,1451,231
584,412,683
585,412,842
586,412,390
587,412,277
588,412,941
588,412,287
589,410,134
590,412,1453
590,410,1453
591,412,394
592,412,124
593,412,131
593,410,131
594,410,1443
595,410,231
596,412,387
597,410,1452
597,410,257
598,412,404
598,412,406
599,405,683
599,403,683
600,403,842
600,405,842
601,403,390
601,405,390
602,401,134
602,402,134
603,403,277
603,405,277
604,402,1453
604,401,1453
605,403,941
605,405,287
605,405,941
605,403,287
605,291,408
605,292,407
606,403,394
606,405,394
607,401,1443
607,402,1443
608,401,231
608,402,231
609,401,257
609,401,1452
609,402,257
609,402,1452
610,405,124
610,403,124
611,405,131
611,403,131
611,402,131
611,401,131
612,402,409
612,401,409
613,405,387
613,403,387
614,384,683
614,682,386
615,384,842
616,385,134
617,384,390
618,385,1453
619,384,277
620,384,287
620,384,941
621,385,1443
622,385,231
623,385,257
623,385,1452
624,384,394
625,385,409
626,384,124
627,384,131
627,385,131
628,385,407
628,385,408
629,126,683
630,127,134
631,126,842
632,127,1453
633,126,390
634,126,277
635,127,1443
636,127,231
637,127,1452
637,127,257
638,126,941
638,126,287
639,127,409
640,126,394
641,127,408
641,127,407
642,127,386
643,126,131
643,127,131
644,393,134
645,393,683
646,393,1453
647,393,1443
648,393,231
649,393,1452
649,393,257
650,393,842
651,393,409
652,393,390
653,393,408
653,393,407
654,393,277
655,393,386
656,393,131
657,393,125
658,393,287
658,393,941
659,291,134
659,292,134
660,291,1453
660,292,1453
661,291,1443
661,292,1443
662,291,231
662,292,231
663,292,1452
663,291,257
663,292,257
663,291,1452
664,942,683
664,288,683
665,291,409
665,292,409
666,291,407
666,292,408
667,291,386
667,292,386
668,292,131
668,288,131
668,291,131
668,942,131
669,942,842
669,288,842
670,291,125
670,292,125
671,942,390
671,288,390
672,291,394
672,292,394
673,942,277
673,288,277
674,275,134
675,275,1453
676,275,1443
676,216,277
677,275,231
678,275,257
678,275,1452
679,275,409
679,412,277
680,275,408
680,405,277
680,275,407
680,403,277
681,276,683
682,275,386
683,130,277
683,276,131
683,275,131
684,275,125
685,275,394
686,276,842
687,276,390
688,275,289
688,275,290
689,388,134
689,837,134
690,388,1453
690,837,1453
691,837,1443
691,388,1443
692,388,231
692,837,231
693,837,1452
693,388,1452
693,388,257
693,837,257
694,388,409
694,837,409
695,388,407
695,837,407
695,837,408
695,388,408
696,837,386
696,388,386
697,388,131
697,835,131
697,837,131
698,388,125
698,837,125
699,835,683
700,837,394
700,388,394
701,837,290
701,837,289
701,388,290
701,388,289
702,835,842
703,837,278
703,388,278
704,841,134
704,844,134
705,844,1453
705,841,1453
706,841,1443
706,844,1443
707,844,231
707,841,231
708,841,257
708,844,1452
708,844,257
708,841,1452
709,844,409
709,841,409
710,844,408
710,841,408
710,841,407
710,844,407
711,841,386
711,844,386
712,841,131
712,839,131
712,843,131
712,844,131
713,841,125
713,844,125
714,841,394
714,844,394
715,841,290
715,844,289
715,841,289
715,844,290
716,839,683
716,843,683
717,844,278
717,841,278
718,844,836
718,844,389
718,841,836
718,841,389
719,682,134
720,682,1453
721,682,1443
722,682,231
723,682,257
723,254,683
723,682,1452
723,256,683
724,412,683
724,682,409
725,682,408
725,682,407
726,682,385
727,682,125
728,682,131
729,682,394
730,682,290
730,682,289
731,276,683
731,682,278
732,682,389
732,682,836
733,843,683
733,682,840
733,682,845
733,839,683
734,684,684
734,681,681
735,130,683
736,130,842
737,130,134
738,130,1453
739,130,390
740,130,277
741,130,287
741,130,941
742,130,1443
743,130,231
744,130,257
744,130,1452
744,259,131
744,253,131
745,130,394
746,130,409
747,130,408
747,130,407
748,130,124
749,130,386
750,24,24
750,1109,1109
751,25,25
751,26,26
752,20,20
753,21,21
754,1109,5
755,13,13
755,14,14
756,144,274
757,144,139
757,137,144
758,144,1500
758,152,144
759,1080,137
759,137,1080
760,273,1500
760,152,1080
761,144,274
761,271,145
761,271,144
762,140,1500
763,137,272
763,273,139
764,137,145
765,152,138
765,139,1500
766,152,272
767,152,145
768,1113,1114
768,29,27
768,1113,29
769,1113,1115
769,30,27
770,29,1115
770,30,29
771,29,1116
771,28,29
772,30,1116
772,28,1115
773,1114,1114
774,1113,1113
775,1113,1116
775,28,27
776,28,28
777,1115,1115
778,27,27
779,28,1116
780,30,1115
781,1114,1114
782,1243,1243
782,734,734
783,725,725
783,1245,1245
784,742,742
784,1244,1244
785,737,737
785,736,736
786,738,725
786,1245,739
786,738,738
787,737,737
787,736,736
787,738,740
787,1244,739
788,740,725
788,1245,741
789,670,1582
789,670,670
790,667,666
791,665,1582
791,665,665
792,667,1583
792,667,667
793,670,672
794,667,669
795,668,1582
796,668,672
797,671,1583
797,671,671
798,671,669
799,308,308
800,693,693
801,1431,1431
801,692,694
802,696,694
803,1436,1436
804,1438,694
805,694,694
805,693,693
805,308,694
806,1438,693
807,1436,693
808,696,693
809,308,1431
809,692,1431
810,1431,1431
811,1438,1431
812,1436,1431
813,692,693
814,696,1431
815,1431,1431
816,696,694
817,1433,1433
818,1438,1433
819,308,1433
820,692,1433
821,1436,1433
822,308,697
823,1438,697
824,308,697
825,697,697
825,1436,694
826,692,697
827,696,697
828,308,691
829,308,691
830,692,691
831,696,691
832,1436,691
833,691,691
834,239,239
835,42,252
835,43,43
836,298,252
836,294,294
836,297,252
837,147,239
837,146,146
838,147,43
838,42,146
839,295,43
839,42,296
840,295,239
840,296,296
841,41,239
842,252,252
843,295,239
844,147,239
845,201,201
846,203,203
847,202,202
848,1238,735
848,1242,1237
849,733,733
849,732,732
850,1237,1237
851,1238,747
852,1242,1560
852,1088,735
853,,
854,1242,1242
855,1242,1242
856,1242,1239
857,733,733
858,735,735
859,,
859,709,709
860,747,747
861,1237,1237
862,735,735
863,1241,1241
863,,
864,1239,1239
865,1238,1238
865,1237,1237
866,1560,1560
866,1088,1088
867,746,1237
868,1240,735
869,746,746
870,1240,1240
871,911,911
872,908,908
873,910,910
874,908,908
874,910,908
875,912,912
875,909,911
876,908,908
877,909,909
878,919,919
879,917,917
880,915,913
881,918,921
881,918,914
882,915,913
883,917,917
884,921,921
885,915,921
886,920,917
887,915,921
888,920,913
889,918,921
890,920,914
891,47,132
891,44,132
892,211,132
893,208,132
893,142,132
894,208,132
895,156,132
895,133,154
895,153,132
896,194,132
897,232,132
898,244,132
898,245,132
898,247,132
899,195,132
900,226,132
900,229,132
901,234,132
901,235,132
902,44,196
902,47,196
903,211,196
904,194,196
905,142,196
906,208,196
907,153,196
907,156,196
908,195,196
909,232,196
910,247,196
910,244,196
910,245,196
911,234,196
912,133,196
913,229,196
913,226,196
914,47,228
914,44,227
914,44,228
914,47,227
915,211,228
915,211,227
916,208,228
916,208,227
916,142,228
917,208,228
917,208,227
918,195,196
919,195,196
920,153,227
920,156,227
920,156,228
920,153,228
921,245,228
921,247,228
921,247,227
921,245,227
921,244,227
921,244,228
922,232,228
922,232,227
923,194,227
924,235,228
924,235,227
924,234,228
924,234,227
925,133,227
925,133,228
926,195,228
926,195,227
927,47,270
927,44,270
928,211,270
929,142,270
930,208,270
931,153,270
932,232,270
933,244,270
934,234,270
935,133,270
936,229,270
936,226,270
937,270,270
938,44,237
938,47,236
938,44,236
938,235,46
938,47,237
939,211,236
939,211,237
940,142,237
940,208,237
940,208,236
941,208,236
941,208,237
942,194,1512
942,194,236
943,156,237
943,156,236
943,153,236
943,235,154
943,153,237
943,234,154
944,195,237
944,195,236
944,195,1512
944,235,196
945,229,236
945,229,237
945,229,1512
945,226,236
945,226,237
946,244,236
946,245,236
946,247,237
946,245,237
946,244,237
946,247,236
947,232,236
947,232,237
948,133,236
948,133,1512
948,133,237
949,232,46
949,47,233
949,44,233
950,211,233
951,194,233
952,142,233
953,142,233
953,208,233
954,195,233
955,229,233
955,226,233
956,153,233
956,156,233
957,133,233
958,247,233
958,245,233
958,244,233
959,235,233
959,234,233
960,44,248
960,44,246
960,47,248
960,47,246
961,194,246
962,211,246
962,211,248
963,195,246
963,195,248
964,226,246
964,229,248
964,226,248
964,229,246
965,142,248
966,208,248
966,208,246
967,133,248
967,133,246
968,232,246
968,232,248
969,235,246
969,234,248
969,235,248
969,234,246
970,156,246
970,245,154
970,153,246
970,244,154
970,247,154
970,153,248
970,156,248
971,194,159
972,195,159
973,226,159
973,229,159
974,133,159
975,232,159
976,235,159
976,234,159
977,247,159
977,244,159
977,245,159
978,194,154
979,195,154
980,226,154
980,229,155
980,226,155
980,229,154
981,133,155
982,232,154
982,232,155
983,234,155
983,235,155
984,244,155
984,245,155
984,247,155
985,159,155
985,159,154
986,47,155
986,44,155
987,211,155
988,142,155
989,142,155
989,208,155
990,194,142
991,195,1105
992,229,1105
993,44,141
993,47,141
994,133,1105
995,232,1105
996,235,1105
997,247,1105
997,245,1105
998,159,1105
999,156,1105
999,208,154
1000,210,141
1001,194,208
1002,195,207
1003,229,207
1003,226,207
1004,47,207
1004,44,207
1005,133,207
1006,232,207
1007,235,207
1007,234,207
1008,245,207
1008,247,207
1008,244,207
1009,159,207
1010,156,207
1011,211,207
1012,194,211
1013,195,1498
1014,226,1498
1014,229,1498
1015,133,1498
1016,232,1498
1017,234,1498
1017,235,1498
1018,244,1498
1018,247,1498
1018,245,1498
1019,159,1498
1020,44,1498
1020,211,46
1020,209,46
1020,47,1498
1021,156,1498
1022,143,1498
1023,208,1498
1023,143,1498
1024,194,46
1025,195,46
1026,229,46
1027,133,46
1028,232,46
1029,235,46
1030,247,46
1031,159,46
1032,156,46
1032,44,154
1032,47,154
1033,208,46
1033,143,46
1034,208,46
1035,209,46
1036,546,557
1037,546,557
1038,546,538
1039,546,538
1040,546,543
1041,546,543
1042,546,543
1042,546,546
1042,545,545
1043,1102,1102
1043,1101,1101
1044,1101,1101
1044,1102,1102
1045,558,545
1046,558,545
1047,558,543
1047,557,557
1048,558,538
1049,1258,557
1050,1258,538
1050,537,537
1050,538,538
1051,1258,545
1051,545,545
1052,1258,545
1053,1258,545
1054,537,545
1055,537,545
1056,537,543
1057,537,557
1058,475,475
1058,474,474
1059,323,323
1059,325,325
1060,349,476
1061,353,476
1062,358,476
1062,358,323
1063,349,324
1063,321,349
1064,353,324
1065,358,324
1066,477,348
1067,321,348
1067,348,324
1068,353,349
1069,358,348
1070,477,351
1071,321,351
1071,325,351
1072,348,351
1073,358,352
1074,477,357
1074,358,323
1075,321,357
1075,325,357
1076,358,349
1076,348,357
1077,350,357
1077,358,352
1078,359,359
1078,356,356
1078,355,355
1078,354,354
1079,1078,1026
1079,1012,1026
1079,1077,1026
1080,1077,1027
1080,1012,1027
1080,1078,1027
1081,1078,1025
1081,1012,1025
1081,1077,1025
1082,1012,1044
1082,1078,1044
1082,1077,1044
1083,1012,1028
1084,1077,996
1084,1012,996
1084,1078,996
1085,1078,1046
1085,1012,1046
1085,1077,1046
1086,1077,1048
1086,1078,1048
1086,1012,1048
1087,1013,1026
1087,1076,1026
1088,1013,1027
1088,1076,1027
1089,1076,1025
1089,1013,1025
1090,1013,1044
1090,1076,1044
1091,1013,1028
1092,1076,996
1092,1013,996
1093,1076,1046
1093,1013,1046
1094,1013,1048
1094,1076,1048
1095,1024,1026
1096,1024,1027
1097,1024,1025
1098,1024,1044
1099,1024,1028
1100,1024,1046
1101,1024,1048
1102,1014,1025
1102,1075,1025
1103,1014,1044
1103,1075,1044
1104,1014,1028
1105,1014,1046
1105,1075,1046
1106,1014,1048
1106,1075,1048
1107,1017,1029
1107,1016,1029
1108,1016,1051
1108,1017,1051
1109,1017,1030
1109,1016,1030
1110,1016,1031
1110,1017,1031
1111,1073,1029
1111,1015,1029
1112,1015,1051
1112,1073,1051
1113,1073,1030
1113,1015,1030
1114,1073,1031
1114,1015,1031
1115,1072,1029
1116,1072,1051
1117,1072,1030
1118,1072,1031
1119,1019,1029
1119,1018,1029
1120,1074,1051
1120,1018,1051
1120,1019,1051
1121,1019,1030
1121,1018,1030
1121,1074,1030
1122,1018,1031
1122,1019,1031
1122,1074,1031
1123,1021,1051
1123,1020,1051
1124,1021,1030
1124,1020,1030
1125,1021,1031
1125,1020,1031
1126,1022,1051
1126,1023,1051
1127,1023,1030
1127,1022,1030
1128,1023,1031
1128,1022,1031
1129,1045,1031
1130,1045,1030
1131,1045,1051
1132,1045,1029
1133,1048,1048
1133,1047,1047
1134,1555,1008
1135,1068,1011
1135,1555,1011
1135,1002,1011
1135,999,1007
1136,1068,1006
1136,1555,1006
1136,1002,1006
1137,1002,1004
1137,1068,1004
1137,1555,1004
1137,996,1007
1137,997,1007
1138,1067,1008
1138,1003,1008
1139,1003,1011
1139,1067,1011
1140,1003,1006
1140,1067,1006
1141,1067,1004
1141,1003,1004
1142,1000,1011
1143,1000,1006
1144,1000,1004
1144,1003,1024
1144,1067,1024
1145,998,1006
1145,1069,1006
1146,998,1004
1146,1069,1004
1146,996,1010
1146,997,1010
1147,996,1005
1147,997,1005
1147,996,1071
1147,997,1071
1147,1005,1004
1147,995,1004
1147,1005,1024
1148,995,1024
1148,1005,1005
1148,995,1004
1149,1070,1010
1150,997,1009
1150,996,1009
1150,1000,1024
1151,997,1036
1151,996,1036
1151,1068,1024
1151,998,1024
1151,1069,1024
1151,1068,1024
1151,1002,1024
1152,994,1010
1153,994,1009
1154,994,1007
1155,994,1036
1155,994,1009
1155,1070,1036
1155,1001,1036
1155,999,1036
1155,999,1009
1156,999,1002
1157,1001,1007
1157,1068,1008
1157,1068,1008
1157,1002,1008
1158,961,1057
1159,961,967
1160,961,973
1161,961,1032
1162,961,1043
1163,960,1057
1164,960,967
1165,960,973
1166,960,1032
1167,960,1043
1168,959,1058
1169,959,967
1170,959,973
1171,959,1032
1172,959,1043
1173,958,1057
